File,NEDR
2-8 post long snipped-1.wav, 0.15877
2-8 post long snipped-2.wav, 0.17275
2-8 post long snipped-3.wav, 0.21004
2-8 post long snipped-4.wav, 0.17891
2-8 post long snipped-5.wav, 0.159
2-8 post long snipped-6.wav, 0.24024
2-8 post long snipped-7.wav, 0.12966
2-8 post long snipped-8.wav, 0.12729
2-8 post long snipped-9.wav, 0.094278
2-8 post long snipped-10.wav, 0.11495
2-8 post long snipped-11.wav, 0.12744
2-8 post long snipped-12.wav, 0.2116
2-8 post long snipped-13.wav, 0.1402
2-8 post long snipped-14.wav, 0.22872
2-8 post long snipped-15.wav, 0.069707
2-8 post long snipped-16.wav, 0.12165
2-8 post long snipped-17.wav, 0.11058
2-8 post long snipped-18.wav, 0.091202
2-8 post long snipped-19.wav, 0.15899
2-8 post long snipped-20.wav, 0.13097
2-8 post long snipped-21.wav, 0.13301
2-8 post long snipped-22.wav, 0.094134
2-8 post long snipped-23.wav, 0.27397
2-8 post long snipped-24.wav, 0.07393
2-8 post long snipped-25.wav, 0.070867
2-8 post long snipped-26.wav, 0.14268
2-8 post long snipped-27.wav, 0.055333
2-8 post long snipped-28.wav, 0.15529
2-8 post long snipped-29.wav, 0.062988
2-8 post long snipped-30.wav, 0.13394
2-8 post long snipped-31.wav, 0.14025
2-8 post long snipped-32.wav, 0.056916
2-8 post long snipped-33.wav, 0.049598
2-8 post long snipped-34.wav, 0.13818
2-8 post long snipped-35.wav, 0.19909
2-8 post long snipped-36.wav, 0.16675
2-8 post long snipped-37.wav, 0.22918
2-8 post long snipped-38.wav, 0.1102
2-8 post long snipped-39.wav, 0.12796
2-8 post long snipped-40.wav, 0.17575
2-8 post long snipped-41.wav, 0.12077
2-8 post long snipped-42.wav, 0.14519
2-8 post long snipped-43.wav, 0.095762
2-8 post long snipped-44.wav, 0.067535
2-8 post long snipped-45.wav, 0.066222
2-8 post long snipped-46.wav, 0.073386
2-8 post long snipped-47.wav, 0.17299
2-8 post long snipped-48.wav, 0.1755
2-8 post long snipped-49.wav, 0.19407
2-8 post long snipped-50.wav, 0.1221
2-8 post long snipped-51.wav, 0.122
2-8 post long snipped-52.wav, 0.069648
2-8 post long snipped-53.wav, 0.068352
2-8 post long snipped-54.wav, 0.072394
2-8 post long snipped-55.wav, 0.09563
2-8 post long snipped-56.wav, 0.11696
2-8 post long snipped-57.wav, 0.16952
2-8 post long snipped-58.wav, 0.068415
2-8 post long snipped-59.wav, 0.25814
2-8 post long snipped-60.wav, 0.23022
2-8 post long snipped-61.wav, 0.08679
2-8 post long snipped-62.wav, 0.069033
2-8 post long snipped-63.wav, 0.092209
2-8 post long snipped-64.wav, 0.064671
2-8 post long snipped-65.wav, 0.11292
2-8 post long snipped-66.wav, 0.064166
2-8 post long snipped-67.wav, 0.064519
2-8 post long snipped-68.wav, 0.098964
